Rank,Spanish,French,English,,Notes
1815,distancia,distance,distance,,
1816,bravo,Bravo,Bravo,,
1817,europa,L'Europe ,Europe,,
1818,mataron,ils ont tué,they killed,,
1819,tomando,prise,taking,,
1820,verle,voir,see,,
1821,señoría,seigneurie,lordship,,
1822,casarse,se marrier,get marry,,
1823,toque,j'ai touché,I touched,,
1824,toques,touches,touches,,
1825,ángel,ange,Angel,,
1826,amante,amoureux,lover,,
1827,habló,je parle,I speak,,
1828,saca,en sort,pulls out,,
1829,digamos,disons,let say,,
1830,perfecta,parfait,perfect,,
1831,rosa,rose,pink,,
1832,llámame,me donner un appel,Giving me a call,,
1833,nosotras,nous,we,,
1834,peso,poids,weight,,
1835,carga,charge,load,,
1836,acto,acte,act,,
1837,robar,Voler,Steal,,
1838,dejaste,vous avez quitté,you left,,
1839,desastre,catastrophe,disaster,,
1840,bote,bateau,boat,,
1841,huele,odeurs,smells,,
1842,embarazada,Enceinte,pregnant,,
1843,muestra,échantillon,sample,,
1844,gordo,Graisse,Fat,,
1845,puto,putain de,fucking,,
1846,sheriff,shérif,sheriff,,
1847,viviendo,vivant,living,,
1848,anna,anna,anna,,
1849,cerrar,Fermer,close,,
1850,papeles,papiers,papers,,
1851,valiente,courageux,brave,,
1852,gloria,gloire,glory,,
1853,aceptar,accepter,to accept,,
1854,perdóname,pardon,excuse me,,
1855,perfectamente,à la perfection,perfectly,,
1856,oscuro,Foncé,Dark,,
1857,cuidar,prendre soin,look after,,
1858,dedo,doigt,finger,,
1859,ruego,Je prie,I beg,,
1860,pareció,il semblait,it seemed,,
1861,tumba,tombeau,tomb,,
1862,coge,choix,picks,,
1863,resulta,résultat,result,,
1864,dejarlo,laisser,leave,,
1865,comenzar,début,start,,
1866,área,surface,area,,
1867,metido,j'ai eu,I got,,
1868,limpio,nettoyée,cleansed,,
1869,descanso,Pause,break,,
1870,lados,côtés,sides,,
1871,posibilidad,possibilité,possibility,,
1872,jerry,jerry,jerry,,
1873,guapo,Beau,Handsome,,
1874,uso,utilisation,use,,
1875,talento,Talent,talent,,
1876,matarme,tue-moi,kill me,,
1877,continuar,continuer,continue,,
1878,código,code,code,,
1879,comenzó,commencé,started,,
1880,duerme,sommeils,sleeps,,
1881,r,r,r,,
1882,definitivamente,absolument,definitely,,
1883,dave,dave,dave,,
1884,directo,direct,direct,,
1885,vuelvas,vous revenez,you return,,
1886,dia,journée,day,,
1887,demonio,démon,demon,,
1888,parque,parc,Park,,
1889,cambia,changement,change,,
1890,olvidar,oublier,forget,,
1891,cinta,ruban,tape,,
1892,famoso,célèbre,famous,,
1893,mataré,je tuerais,I will kill,,
1894,siguen,suivre,follow,,
1895,saliendo,sortir,coming out,,
1896,muevas,tu bouges,you move,,
1897,señoras,Dames,ladies,,
1898,disparar,tirer,shoot,,
1899,to,à,to,,
1900,chris,chris,chris,,
1901,sóio,seuIement,onIy,,
1902,ja,ja,ja,,
1903,pide,demande,asks,,
1904,debió,il doit avoir,he must have,,
1905,empresa,entreprise,company,,
1906,precioso,belle,beautiful,,
1907,termina,prend fin,ends,,
1908,intención,intention,intention,,
1909,tambien,également,also,,
1910,recibir,recevoir,to receive,,
1911,hubieras,tu avais,you had,,
1912,abrigo,manteau,coat,,
1913,encuentras,tu trouves,you find,,
1914,diste,vous avez donné,you gave,,
1915,tendrán,volonté,will,,
1916,cerrado,fermé,closed,,
1917,conocerte,rencontrer,meet,,
1918,hablé,j'ai parlé,I talked,,
1919,menor,Moins,less,,
1920,querría,je voudrais,I would want,,
1921,imagino,j'imagine,I imagine,,
1922,genio,génie,genius,,
1923,profesional,professionnel,professional,,
1924,oigo,j'entends,I hear,,
1925,pongo,je mets,I put,,
1926,niñas,filles,girls,,
1927,muévete,passez,move on,,
1928,opción,option,option,,
1929,tribunal,tribunal,court,,
1930,tenéis,tu as,you have,,
1931,lago,Lac,lake,,
1932,unidad,unité,unity,,
1933,abierta,ouvrir,open,,
1934,efecto,effet,effect,,
1935,presión,Pression,Pressure,,
1936,varias,nombreuses,several,,
1937,robo,A volé,Stole,,
1938,saldrá,volonté,will,,
1939,veía,Il a regardé,He looked,,
1940,quedado,la gauche,left,,
1941,alcalde,maire,mayor,,
1942,empleo,emploi,job,,
1943,pollo,poulet,chicken,,
1944,whisky,whisky,whiskey,,
1945,california,Californie,California,,
1946,carretera,Autoroute,highway,,
1947,sábado,samedi,Saturday,,
1948,aeropuerto,aéroport,airport,,
1949,jodido,putain de,fucking,,
1950,pobres,pauvre,poor,,
1951,medicina,médicament,medicine,,
1952,llevará,porter,carry,,
1953,gratis,libre,free,,
1954,cae,tomber,falls off,,
1955,fortuna,fortune,fortune,,
1956,castillo,Château,castle,,
1957,nieve,neige,snow,,
1958,busco,je recherche,I search,,
1959,riesgo,risque,risk,,
1960,alemán,allemand,German,,
1961,sucio,sale,dirty,,
1962,idiotas,idiots,idiots,,
1963,walter,walter,walter,,
1964,conversación,conversation,conversation,,
1965,fuese,c'était,it was,,
1966,comienzo,Début,Start,,
1967,pasé,passer,pass,,
1968,encontraron,Ils ont trouvé,They found,,
1969,elección,choix,choice,,
1970,ey,ey,ey,,
1971,salgan,laisser,leave,,
1972,carro,voiture,car,,
1973,piensan,ils pensent,they think,,
1974,rostro,visage,face,,
1975,razones,les raisons,reasons,,
1976,fué,C'était,It was,,
1977,propiedad,propriété,property,,
1978,mundial,monde,world,,
1979,familiar,famille,family,,
1980,libras,livres sterling,pounds,,
1981,hablemos,parlons,let's talk,,
1982,pedazo,pièce,piece,,
1983,continúa,continue,keep going,,
1984,cola,queue,tail,,
1985,enemigos,ennemis,enemies,,
1986,marca,marque,brand,,
1987,líder,Chef,Leader,,
1988,hablan,parler,speak,,
1989,durmiendo,en train de dormir,sleeping,,
1990,socorro,Aidez-moi,Help,,
1991,fútbol,Football,football,,
1992,detalles,détails,details,,
1993,hiciera,faire,do,,
1994,recibido,reçu,received,,
1995,tesoro,Trésor,treasure,,
1996,camisa,chemise,shirt,,
1997,thomas,thomas,thomas,,
1998,comienza,commence,begins,,
1999,conducir,conduire,drive,,
2000,andar,marche,walk,,
